developer,freetogame_profile_url,game_url,genre,id,platform,publisher,release_date,short_description,thumbnail,title
InnoGames,https://www.freetogame.com/elvenar,https://www.freetogame.com/open/elvenar,Strategy,347,Web Browser,InnoGames,2015-04-08,A browser based city-building strategy MMO set in the fantasy world of Elvenar.,https://www.freetogame.com/g/347/thumbnail.jpg,Elvenar
Smilegate RPG,https://www.freetogame.com/lost-ark,https://www.freetogame.com/open/lost-ark,ARPG,517,PC (Windows),Amazon Games,2022-02-11,"Smilegate’s free-to-play multiplayer ARPG is a massive adventure filled with lands waiting to be explored, people waiting to be met, and an ancient evil waiting to be destroyed.",https://www.freetogame.com/g/517/thumbnail.jpg,Lost Ark
Battlefield Studios,https://www.freetogame.com/battlefield-redsec,https://www.freetogame.com/open/battlefield-redsec,Shooter,624,PC (Windows),Electronic Arts,2025-10-28,A free-to-play battle royale game built with Battlefield DNA.,https://www.freetogame.com/g/624/thumbnail.jpg,Battlefield REDSEC
Cryptic Studios,https://www.freetogame.com/neverwinter,https://www.freetogame.com/open/neverwinter,MMORPG,11,PC (Windows),Perfect World Entertainment,2013-12-06,A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game.,https://www.freetogame.com/g/11/thumbnail.jpg,Neverwinter
miHoYo,https://www.freetogame.com/genshin-impact,https://www.freetogame.com/open/genshin-impact,Action RPG,475,PC (Windows),miHoYo,2020-09-28,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.",https://www.freetogame.com/g/475/thumbnail.jpg,Genshin Impact
Wargaming,https://www.freetogame.com/world-of-warships,https://www.freetogame.com/open/world-of-warships,Shooter,9,PC (Windows),Wargaming,2015-07-02,A 3D free to play naval action-themed MMO from the creators of World of Tanks!,https://www.freetogame.com/g/9/thumbnail.jpg,World of Warships
Thera Interactive,https://www.freetogame.com/world-of-sea-battle,https://www.freetogame.com/open/world-of-sea-battle,MMORPG,628,PC (Windows),Thera Interactive,2025-10-21,A free-to-play historical open-sea MMORPG.,https://www.freetogame.com/g/628/thumbnail.jpg,World of Sea Battle
Hypergryph,https://www.freetogame.com/arknights-endfield,https://www.freetogame.com/open/arknights-endfield,Strategy,636,PC (Windows),GRYPHLINE,2026-01-21,A free-to-play RTS RPG gacha game.,https://www.freetogame.com/g/636/thumbnail.jpg,Arknights: Endfield
Singularity Six,https://www.freetogame.com/palia,https://www.freetogame.com/open/palia,MMORPG,560,PC (Windows),Singularity Six,2023-08-10,A cozy MMO with homebuilding and some adventure.,https://www.freetogame.com/g/560/thumbnail.jpg,Palia
Cryptic Studios,https://www.freetogame.com/star-trek-online,https://www.freetogame.com/open/star-trek-online,MMORPG,14,PC (Windows),Perfect World Entertainment,2010-02-02,"A free-to-play, 3D, Sci-Fi MMORPG based on the popular Star Trek series.",https://www.freetogame.com/g/14/thumbnail.jpg,Star Trek Online
Netmarble,https://www.freetogame.com/rf-online-next,https://www.freetogame.com/open/rf-online-next,MMORPG,647,PC (Windows),Netmarble,2026-06-15,A free-to-play sci-fi PvP MMORPG.,https://www.freetogame.com/g/647/thumbnail.jpg,RF Online Next
Ubisoft,https://www.freetogame.com/the-division-resurgence,https://www.freetogame.com/open/the-division-resurgence,Shooter,643,PC (Windows),Ubisoft,2026-04-29,A free-to-play open-world shooter set in The Division universe.,https://www.freetogame.com/g/643/thumbnail.jpg,The Division Resurgence
NetEase,https://www.freetogame.com/marvel-rivals,https://www.freetogame.com/open/marvel-rivals,Shooter,599,PC (Windows),NetEase,2024-12-06,A free-to-play superhero team shooter from NetEase.,https://www.freetogame.com/g/599/thumbnail.jpg,Marvel Rivals
Blue Mammoth Games,https://www.freetogame.com/brawlhalla,https://www.freetogame.com/open/brawlhalla,Fighting,212,PC (Windows),Blue Mammoth Games,2015-11-03,A free-to-play 2D platform fighter inspired by the Smash Bros.,https://www.freetogame.com/g/212/thumbnail.jpg,Brawlhalla
Electronic Arts,https://www.freetogame.com/apex-legends,https://www.freetogame.com/open/apex-legends,Shooter,23,PC (Windows),Electronic Arts,2019-02-04,A free-to-play strategic battle royale game featuring 60-player matches and team-based play.,https://www.freetogame.com/g/23/thumbnail.jpg,Apex Legends
Jagex,https://www.freetogame.com/runescape,https://www.freetogame.com/open/runescape,MMORPG,433,"PC (Windows), Web Browser",Jagex,2001-01-04,A popular 3D browser MMORPG boasting a huge player base and 15 years of content.,https://www.freetogame.com/g/433/thumbnail.jpg,RuneScape
